id,first_name,last_name,phone_number,job
1,Teresa,Ward,1-(256)647-5984,Chemical Engineer
2,Billy,Ray,66-(251)713-1157,Systems Administrator II
3,Frank,Ruiz,63-(585)664-9188,Web Developer I
4,Philip,Pierce,252-(517)974-4360,Senior Financial Analyst
5,Frances,Howard,1-(915)860-0583,Physical Therapy Assistant
6,Christopher,Gutierrez,46-(569)871-3244,Software Test Engineer I
7,Clarence,Stewart,27-(886)478-3805,Marketing Assistant
8,Joseph,Martinez,49-(355)381-4240,Librarian
9,Henry,Ray,98-(846)294-5142,Senior Cost Accountant
10,Bonnie,Ross,55-(491)667-2150,Help Desk Operator
11,Christopher,Day,86-(732)223-1962,VP Sales
12,Bruce,Richards,55-(649)326-9277,Teacher
13,Angela,Weaver,86-(403)158-5582,Media Manager II
14,Stephen,Patterson,86-(506)433-7282,Administrative Assistant II
15,Heather,Vasquez,81-(647)458-6251,Sales Associate
16,Pamela,Thomas,255-(688)652-6194,VP Accounting
17,Ronald,Sanders,86-(948)765-4765,Senior Financial Analyst
18,Lois,Harvey,62-(941)952-4161,Clinical Specialist
19,George,King,86-(923)471-6288,Clinical Specialist
20,Katherine,Warren,62-(152)345-2435,Dental Hygienist
21,Alice,Henry,375-(390)148-6999,VP Marketing
22,Keith,Washington,383-(219)855-7454,Computer Systems Analyst III
23,William,Mitchell,420-(401)552-5406,Assistant Manager
24,Annie,Oliver,82-(449)717-9869,Help Desk Operator
25,Janet,Armstrong,994-(935)380-7183,Nurse Practicioner
26,Bonnie,Ellis,86-(483)951-5421,Human Resources Manager
27,Brandon,Anderson,46-(225)444-0374,Internal Auditor
28,Betty,Lopez,86-(296)769-1490,Technical Writer
29,Anne,Taylor,7-(257)642-3883,Account Executive
30,Laura,Hanson,598-(468)164-0012,Social Worker
31,Wanda,Romero,7-(328)400-9042,Speech Pathologist
32,Marie,Greene,63-(483)639-9629,Assistant Manager
33,James,Palmer,380-(983)964-8337,Research Assistant IV
34,Julie,Weaver,420-(437)688-6613,Account Representative III
35,Mark,Young,992-(116)881-5358,VP Quality Control
36,Stephen,Holmes,33-(753)670-0281,Environmental Tech
37,Stephen,Bradley,385-(765)777-0194,Software Test Engineer IV
38,Elizabeth,Diaz,30-(456)223-8037,Cost Accountant
39,Adam,Barnes,7-(509)191-1112,Food Chemist
40,Sharon,Thompson,48-(625)603-6551,Registered Nurse
41,Susan,Anderson,58-(737)443-5057,Budget/Accounting Analyst III
42,Charles,Rivera,995-(413)609-7868,Environmental Tech
43,Ashley,Bowman,55-(503)244-9564,Registered Nurse
44,Jeffrey,Cook,55-(936)807-6032,Social Worker
45,Donna,Sanchez,48-(204)404-6092,Nurse
46,Chris,James,63-(145)497-0338,Assistant Media Planner
47,Linda,Cox,240-(160)820-0606,Analog Circuit Design manager
48,Mary,Sims,62-(188)237-2320,Actuary
49,Cynthia,Knight,48-(398)947-6314,Dental Hygienist
50,Jacqueline,Dixon,381-(562)994-5538,Civil Engineer
51,Tammy,Cook,33-(358)466-8828,Accounting Assistant IV
52,Bobby,Johnston,52-(937)944-1747,Paralegal
53,Douglas,Burns,52-(696)107-3128,Structural Analysis Engineer
54,Doris,Fisher,86-(391)256-7789,Assistant Manager
55,Beverly,Fowler,36-(537)300-5388,Payment Adjustment Coordinator
