id,name,email,taxes_paid
1,Wanda Rose,wrose0@tinypic.com,$3817.63
2,Terry Hart,thart1@boston.com,$3559.75
3,Sharon Russell,srussell2@seesaa.net,$3292.23
4,Brandon Payne,bpayne3@imgur.com,$1564.51
5,Margaret Olson,molson4@tiny.cc,$3764.67
6,Martha King,mking5@mediafire.com,$4626.48
7,Scott Dixon,sdixon6@howstuffworks.com,$778.42
8,Bobby Holmes,bholmes7@umich.edu,$2636.21
9,Harold Alvarez,halvarez8@netscape.com,$4407.92
10,Judith Simmons,jsimmons9@eepurl.com,$2201.44
11,Marie Williamson,mwilliamsona@constantcontact.com,$4746.29
12,Howard Mcdonald,hmcdonaldb@163.com,$2856.88
13,Amy Moore,amoorec@chicagotribune.com,$142.12
14,Katherine Black,kblackd@cdbaby.com,$4426.89
15,Kelly Black,kblacke@cbslocal.com,$445.18
16,Jean Stewart,jstewartf@mit.edu,$3777.11
17,Craig Harper,charperg@elegantthemes.com,$2121.95
18,Sean Williamson,swilliamsonh@exblog.jp,$3688.55
19,Todd Lopez,tlopezi@hexun.com,$768.03
20,Teresa Patterson,tpattersonj@tuttocitta.it,$4062.08
21,Christina Cunningham,ccunninghamk@hud.gov,$4713.52
22,Joyce Harper,jharperl@chicagotribune.com,$3781.97
23,Robert Turner,rturnerm@springer.com,$2887.53
24,Antonio Flores,afloresn@prnewswire.com,$3099.91
25,Juan Simmons,jsimmonso@exblog.jp,$732.62
26,Adam Watkins,awatkinsp@bloglovin.com,$4076.22
27,Emily Ruiz,eruizq@nature.com,$2398.12
28,Kathryn Flores,kfloresr@eventbrite.com,$3833.96
29,Frank Palmer,fpalmers@1688.com,$2944.88
30,Gary Smith,gsmitht@jigsy.com,$2785.63
31,Julie Richardson,jrichardsonu@meetup.com,$2376.27
32,Larry Scott,lscottv@abc.net.au,$2038.24
33,Rebecca Gonzalez,rgonzalezw@linkedin.com,$822.81
34,Sarah Grant,sgrantx@utexas.edu,$2714.98
35,Albert Garrett,agarretty@ftc.gov,$2854.38
36,Sean Dunn,sdunnz@msn.com,$1800.86
37,Janice Walker,jwalker10@weebly.com,$838.42
38,Earl Wells,ewells11@wired.com,$2792.00
39,Kevin Roberts,kroberts12@odnoklassniki.ru,$3443.40
40,Julie Simpson,jsimpson13@skype.com,$3248.86
41,Matthew Simpson,msimpson14@facebook.com,$187.57
42,Anthony Vasquez,avasquez15@google.co.jp,$4346.82
43,Anthony Thomas,athomas16@cbslocal.com,$3185.87
44,Patricia Duncan,pduncan17@blogger.com,$2101.79
45,Stephanie Turner,sturner18@twitpic.com,$764.62
46,Randy Andrews,randrews19@icq.com,$2191.69
47,Amy Richardson,arichardson1a@usa.gov,$2209.43
48,Eugene Watkins,ewatkins1b@fastcompany.com,$1841.30
49,Joyce Murray,jmurray1c@thetimes.co.uk,$1303.52
50,John Long,jlong1d@answers.com,$3608.37
51,Beverly Sullivan,bsullivan1e@globo.com,$2971.73
52,Larry Baker,lbaker1f@sbwire.com,$4824.71
53,Edward Griffin,egriffin1g@simplemachines.org,$4466.17
54,Frank Daniels,fdaniels1h@stanford.edu,$844.55
55,Paula Flores,pflores1i@canalblog.com,$4888.50
56,Stephanie Fox,sfox1j@kickstarter.com,$2496.83
57,Theresa Fields,tfields1k@elegantthemes.com,$58.30
58,Shirley Anderson,sanderson1l@creativecommons.org,$141.22
59,Mildred Hughes,mhughes1m@nydailynews.com,$3430.07
60,Nancy Lynch,nlynch1n@mayoclinic.com,$2269.30
61,Jane Peters,jpeters1o@mac.com,$4528.42
62,Anthony Smith,asmith1p@eventbrite.com,$820.83
63,Robert Owens,rowens1q@lycos.com,$889.72
64,Joseph Gordon,jgordon1r@elegantthemes.com,$2470.28
65,Todd Ray,tray1s@parallels.com,$2585.08
66,Bobby Fernandez,bfernandez1t@state.tx.us,$1207.98
67,Gerald Anderson,ganderson1u@blog.com,$1233.12
68,Sara Ortiz,sortiz1v@dot.gov,$1729.23
69,Donald Lane,dlane1w@simplemachines.org,$165.45
70,Catherine Richardson,crichardson1x@aboutads.info,$4059.23
71,Kathleen Boyd,kboyd1y@paypal.com,$231.65
72,Susan James,sjames1z@sakura.ne.jp,$4289.34
73,Ashley Garcia,agarcia20@opera.com,$455.19
74,Walter Marshall,wmarshall21@sina.com.cn,$2315.37
75,Victor Meyer,vmeyer22@scribd.com,$1577.56
76,Jean Griffin,jgriffin23@nbcnews.com,$2330.92
77,Eric Schmidt,eschmidt24@edublogs.org,$179.96
78,Marilyn Snyder,msnyder25@narod.ru,$695.29
79,Jessica Hudson,jhudson26@weibo.com,$3547.20
80,Samuel Austin,saustin27@ucoz.com,$2167.80
81,Shirley Brown,sbrown28@nyu.edu,$3429.40
82,Howard Garcia,hgarcia29@psu.edu,$3415.80
83,Karen Holmes,kholmes2a@bing.com,$552.12
84,Kelly Stewart,kstewart2b@ca.gov,$1870.57
85,Jean Perez,jperez2c@cloudflare.com,$2168.02
86,Sandra Garza,sgarza2d@wufoo.com,$1077.65
87,Sean Harrison,sharrison2e@zdnet.com,$346.19
