id,first_name,last_name,phone_number,skills
1,Denise,Barnes,351-(723)581-1434,Payroll
2,Gloria,Hill,62-(622)854-8515,ENOVIA LCA
3,Craig,Flores,62-(922)449-6754,HTML Scripting
4,Clarence,Carroll,62-(678)448-0253,Healthcare Management
5,Sandra,Rivera,55-(942)394-2735,Operational Due Diligence
6,Linda,Griffin,55-(350)865-1251,Home Health Agencies
7,Philip,Elliott,86-(583)207-3277,Rehabilitation Psychology
8,Heather,Kelly,63-(526)918-5497,Yelp
9,Bobby,Hall,234-(384)665-5638,Vlookup
10,Cynthia,Fisher,66-(251)587-0702,FTTH
11,Norma,Thomas,62-(738)197-0931,HCS
12,Patrick,Rodriguez,212-(826)466-8327,CDPE
13,David,Wright,62-(445)317-4386,Algorithms
14,Judith,Bowman,86-(985)797-2283,Epi Info
15,Adam,Peters,55-(389)342-3052,Watercolor Illustration
16,Janet,Murphy,880-(901)858-6521,HCV
17,Tammy,Hicks,86-(691)136-2850,BPL
18,Jeffrey,Wheeler,55-(840)104-3643,SWIFT Payments
19,Jesse,Webb,46-(406)499-0779,Chi Kung
20,Jeffrey,Diaz,49-(350)790-9683,Newsletters
21,Wanda,Alexander,420-(676)528-1634,NFPA 101
22,Daniel,Morales,62-(836)942-3703,LaTeX
23,Beverly,Smith,967-(901)709-0004,At Multitasking
24,Michael,Boyd,66-(804)677-5826,Tubing
25,David,Turner,63-(134)403-0592,Wyse
26,Eric,Walker,351-(545)333-2419,DMPK
27,Bonnie,Diaz,234-(947)986-8586,UF/DF
28,John,Adams,62-(785)156-0420,DTMF
29,Henry,Hanson,351-(221)197-0838,Turbines
30,Virginia,Welch,86-(908)540-4165,Brand Management
31,Samuel,Martinez,7-(668)182-8007,Not for Profit
32,Kathleen,Sanchez,63-(551)226-2628,Market Planning
33,Ruby,Cooper,57-(614)508-0112,Educational Outreach
34,Louise,Foster,86-(196)949-5245,Oilfield
35,Christina,Elliott,86-(614)584-5417,Bartending
36,Ronald,Marshall,63-(320)936-9327,Efficent
37,Marie,Payne,86-(802)446-8938,Universal Life
38,Lori,Torres,267-(771)441-0515,Sports Marketing
39,Irene,Marshall,234-(473)660-6836,Secure FTP
40,Laura,Lee,7-(584)459-2687,Luxury Lifestyle
